"E. Herricks"	"authorOf"	"cbe8808f-faf9-4f66-aa7a-3f9b4ca562cd"
"Jonas Kolsrud"	"authorOf"	"24f71d54-d27b-487c-83ec-566a36135a06"
"Paul M. Romer"	"authorOf"	"ea35a196-309c-4cc8-b27c-6acb3636f5a7"
"Karl Dunbar Stephen"	"authorOf"	"1549cfc4-9b40-46ad-bcbb-3dbdb21be3b7"
"S. P. Kale"	"authorOf"	"82484e1c-9269-43d3-925d-d89270657102"
"Francesco Forastiere"	"authorOf"	"d0912d1c-5bec-4391-aa1c-85574ae04634"
"Henry A. Weber"	"authorOf"	"15e65800-4dc7-4827-9570-e1b2bfecd9f4"
"Grzegorz Węgrzyn"	"authorOf"	"bdc460d5-ebe1-40f4-9ac6-8bb09b29d31a"
"A.E. Putt"	"authorOf"	"84cd71ca-32e4-49a4-a60f-b827b2ceffe3"
"R. A. Skeffington"	"authorOf"	"fd234fcd-269b-4081-9602-a0a4a7fa9bf6"
"Godwin Onuoha"	"authorOf"	"41fbf093-df0c-4b87-b3a0-d32733827323"
"Michael R. Moore"	"authorOf"	"3f0eb9b5-7e41-486f-970d-59372fb32a8d"
"P.M. Fransioli"	"authorOf"	"865436a8-4249-4467-8567-a8d61e28bc67"
"Nancy Qian"	"authorOf"	"3493911b-b5aa-4d72-9e5c-57f4440ce2a3"
"Evangelos Siskos"	"authorOf"	"b77b186d-6aa7-4eca-9ff8-3d5a7c25af3a"
"Andy Wood"	"authorOf"	"cf597214-76b1-43b2-aa45-328241fb568c"
"Ben Wayne Neel"	"authorOf"	"c2d1ac0a-f12f-4481-bbca-89ef1c4dac63"
"Marta Pilar Alfonso"	"authorOf"	"010ce16f-7dfe-4ff1-b860-74672040f7a1"
"Anna Grzymala-busse"	"authorOf"	"#22:664478"
"Susan Freeman"	"authorOf"	"acf0bc2a-617e-4021-899e-1faf6c2278d9"
"John"	"authorOf"	"d09d1298-ac86-4afc-9cc8-f4bbbaac378d"
"M. Dragan"	"authorOf"	"c03fcd78-df33-4630-b32d-67f6f8d1854e"
"Li Bai-qi"	"authorOf"	"ce02e964-8eed-4234-bdf6-f71f6beef0df"
"Ying Tsong Lin"	"authorOf"	"3273026d-a019-47f6-b202-0a9886a67895"
"Dhananjai Singh"	"authorOf"	"bfa2ee06-d0df-4989-95a9-0a14b387c241"
"P Turner"	"authorOf"	"060248e6-0fcf-4c55-8d03-bbc03e7f2490"
"Govind Singh Rajpurohit"	"authorOf"	"45f8054f-39a4-4206-8f1d-9cb234c02108"
"K. Gundersen"	"authorOf"	"6c094b40-3ea8-478a-a777-9b2d2fe43c0a"
"Gregory Mahler"	"authorOf"	"1937a54d-c4e9-4c3a-a361-5d9429f6af1b"
"Sharona Adamowicz-Clements"	"authorOf"	"18869db4-507f-4fe1-9563-08f3d4b6ace0"
"Stéphane Garnier"	"authorOf"	"ec164ca2-1a2f-42ce-b38d-738ec970c38c"
"Predrag Vukovic"	"authorOf"	"c3c0f924-a20e-4dc3-a0d1-961f2caa5473"
"Xiaotian Liu"	"authorOf"	"370acfd1-c939-40ed-bdd3-39172b32d96b"
"Peter K. Weyl"	"authorOf"	"7fc7a0f9-8321-4c16-ad4f-58315519889a"
"Sushil Kumar"	"authorOf"	"14dca96c-9354-4ed4-8a43-1cb6de844265"
"Christopher Flavin"	"authorOf"	"8379938c-5a8d-4a90-8e16-56c2d302a471"
"All Rights Reserved"	"authorOf"	"#22:2142117"
"Jan-Emmanuel De Neve"	"authorOf"	"e805f080-6c41-46b9-9280-d1d24a104958"
"Donna Green"	"authorOf"	"ae8bf253-4491-40cb-a66e-e1375596634d"
"Jonathan Wadsworth"	"authorOf"	"9941a4bd-275c-48d1-b2a8-f56b782250b5"
"M. Rouault"	"authorOf"	"366c0d90-d9da-4efb-a197-d0ba64ceac02"
"Kim Lau"	"authorOf"	"b1247140-c136-47bf-98c6-683aafd08b45"
"Antoine Dechezleprêtre"	"authorOf"	"c59df111-67da-480a-9fe8-38e30bdf1cec"
"John L. Bullister"	"authorOf"	"d7236ee3-d71a-46f5-af68-32015e3853ac"
"Ricardo Bastida"	"authorOf"	"2dd0dd6f-fc24-4f20-93ac-da3349ef83f2"
"Bilodeau Al"	"authorOf"	"9c2da447-94dd-46d0-968b-bceb28596765"
"Bertil Forsberg"	"authorOf"	"9338d709-a113-4cfb-8356-fe85df443864"
"Nigel Harrison"	"authorOf"	"205495cc-8edc-4a07-988f-871b82a921ad"
"Robert N. Iwamoto"	"authorOf"	"2e16c2ec-a1dd-4523-98b2-5ca0f0d759dc"
"Graeme C. Hays"	"authorOf"	"ddab6740-2e38-4df9-9e41-c733e82da33f"
"Joseph Grafton Milne"	"authorOf"	"82d4b2ef-a2eb-459e-bb50-f2f260b6dab5"
"Caroline Shenaz Hossein"	"authorOf"	"859014b3-1d71-4101-b5ad-343e824c8d25"
"Alexander G. J. Driedger"	"authorOf"	"389181ec-ed5d-4cd4-ab87-76588d387b0b"
"Joel Anderson"	"authorOf"	"eb679946-1d89-4797-8f25-76c7df085122"
"Nuclear Safety"	"authorOf"	"35129aaa-5799-4e67-8750-ba48c8385e81"
"Juergen H. Richter"	"authorOf"	"f47c14a4-c4f3-4085-8c72-3bc4d4afd49b"
"Yanhui Wu"	"authorOf"	"e892af07-a6ed-43f4-9b00-252bef510eef"
"Jenny Klingberg"	"authorOf"	"659043a4-fe68-446b-850a-8ff2b803582f"
"D G Ahearn"	"authorOf"	"6193b93d-5c5b-4ce6-8bbd-d47108937d3c"
"Ulrich J. Wagner"	"authorOf"	"74a7161d-4ee7-4950-b1c2-a8def303abd1"
"P. E. Ugwuoke"	"authorOf"	"8d6078aa-57e1-458a-a771-182f7e386569"
"Garth W. Paltridge"	"authorOf"	"3388dd24-5087-4984-9f88-15a5dcb4e6c6"
"Peter M. Haugan"	"authorOf"	"d3ec2712-719e-41b9-8bdc-84bf360ea598"
"W. Morris"	"authorOf"	"ad571978-bd21-4f25-8eaa-9e897d2f750d"
"N. B. K. Murthy"	"authorOf"	"82484e1c-9269-43d3-925d-d89270657102"
"Stephen Hill"	"authorOf"	"36850b50-ab70-4180-81c2-0b6eaca20f68"
"Abigail L. Bristow"	"authorOf"	"58a98af4-8ba9-4bcf-825c-3ee41569f393"
"William Siler"	"authorOf"	"de8683b8-22a4-4bac-bb21-5dd350f4fd16"
"David Foley"	"authorOf"	"e92b5116-c541-49b0-8e6a-4d03914e2919"
"Henry G. Overman"	"authorOf"	"6d6fc9d3-5f8e-48d5-96a9-ea36011b1745"
"Mariela Kogan"	"authorOf"	"2dd0dd6f-fc24-4f20-93ac-da3349ef83f2"
"Max Nathan"	"authorOf"	"1c327bf8-811f-4442-a9f1-d17082d7bccd"
"Hal Stone"	"authorOf"	"ae78100f-3b3c-48fb-9512-a71d1f55a0c8"
"Swati Dhingra"	"authorOf"	"24857ec7-52fd-4d17-9f1f-dd39ab26a215"
"Qu Cp"	"authorOf"	"145d7ecf-5531-47b9-8e6c-66693a543f0d"
"C. L. Heald"	"authorOf"	"#14:690042"
"H. K. Kadiya"	"authorOf"	"c6a5c044-c3cf-4caa-a8b7-82b4114cd01f"
"Jahangir Mirza"	"authorOf"	"c3a77a7e-3aa0-4119-8e4c-dd027f9fc77e"
"Rabab Mohsin"	"authorOf"	"6e2ec62c-15c4-48ed-a631-a7a91e45b3c6"
"Hanna Haaksi"	"authorOf"	"f3d4f2ae-10d4-4dfc-8170-bba5ad40134b"
"Rita Mahon"	"authorOf"	"16c43b41-0caa-4349-8286-caa8b41a5e86"
"Ritjilili Ganambarr"	"authorOf"	"e06edee8-54f2-4f6d-a623-d3ad9ff44907"
"Alexander Ray Alfonso"	"authorOf"	"4cda3dba-cf3f-428e-a3f3-e34b24452124"
"Tim Barmby"	"authorOf"	"3e762912-b97f-4606-bb97-8359369f21fa"
"Erik Moberg"	"authorOf"	"#22:2692303"
"Michael P. Vandenbergh"	"authorOf"	"454d18cb-566f-4316-8cc0-42c24e8fa83c"
"Andrew J. Pitman"	"authorOf"	"c227bba0-de9c-4653-88c8-5853cf895069"
"G. Ventura"	"authorOf"	"8c5032dc-8029-48cb-8e94-ce8e08f33892"
"Harriet Robinson"	"authorOf"	"60eeeedf-470e-4c30-bd2f-2bfdb1800b21"
"Vishal Singh"	"authorOf"	"3b76183e-3116-4d9c-80b1-6046a5206a47"
"Starling G. Pullum"	"authorOf"	"48048e80-9a30-4bfd-b25f-64be18f808eb"
"Paul Dixon"	"authorOf"	"0480be63-fb81-48e1-a591-f194f1964358"
"Joao Paulo Pessoa"	"authorOf"	"4467f2ef-74cf-4138-be78-ed11e3e871cc"
"Alistair J. Hobday"	"authorOf"	"84398187-3a61-4493-a41f-92f84747bdb4"
"Paul A. Read"	"authorOf"	"c034fc66-90fc-4e7c-b6cb-2c823083ebf0"
"John C. Green"	"authorOf"	"acb5cc72-3570-4808-b9f4-20f0423acaa8"
"Paul J. Somerfield"	"authorOf"	"17aaffae-4836-4bed-b9fb-a94de82e642f"
"Edward M. Wojtys"	"authorOf"	"6202c919-3e70-4c20-bc92-56886444097d"
"Alex Bryson"	"authorOf"	"ec66fd27-9b06-4028-9517-cb9b0edcb217"
"William Fenical"	"authorOf"	"1b1bb9bc-4b7c-4ca3-b357-a2efdb4fd974"
"Joseph J. Molnar"	"authorOf"	"fbca470e-72ee-4f04-a2d3-939ae373c9cf"
"Mark A. Hindell"	"authorOf"	"80640987-e215-4ff0-aaec-2ec7be0e2ac3"
"Joseph C. Lam"	"authorOf"	"51c55e0d-6a6b-4179-8fa9-fb51ad504860"
"Mukesh Doble"	"authorOf"	"c094ef2f-ea0a-44bf-a9b1-a7051f57b814"
"Brendan Heery"	"authorOf"	"b1247140-c136-47bf-98c6-683aafd08b45"
"Barbara Petrongolo"	"authorOf"	"bc5bfacd-7005-4d23-8724-ae3796f678ef"
"Biswajit Ruj"	"authorOf"	"574e209c-f009-4e8b-b725-cacc4d3a0e2a"
"Adam Jones"	"authorOf"	"4c444f7b-0437-4156-a79c-ebb32587efef"
"Adriaan Slob"	"authorOf"	"d144973c-8361-4d29-9f5c-d54615eea72f"
"R. F. Soames Job"	"authorOf"	"d6c005b7-5b40-43fc-aa9d-e0ac38f0d94f"
"N Groce"	"authorOf"	"c3aad67c-ef8a-4a34-a755-8ef3976e5acf"
"Markus Robèrt"	"authorOf"	"b1357e2d-92fc-4ea5-82b1-243aa19420d2"
"Elizabeth Garrett"	"authorOf"	"f090f6a6-ce47-47c2-8327-475114a0998c"
"Frédéric Robert-Nicoud"	"authorOf"	"f140af6c-5131-42eb-9080-85722feaa7da"
"Luca Tacconi"	"authorOf"	"d650dcb7-8ee8-4fb5-9cc9-397951c95d0f"
"Kumar Vinoth"	"authorOf"	"0b4e109a-5888-4206-9edb-2558d3c64692"
"A. Aarkrog"	"authorOf"	"24845d56-ae7b-4e5f-ba89-8eff42ddc32b"
"Alex Bryson"	"authorOf"	"6dc21d86-6875-46ed-bfe0-6a1b7e60c9db"
"Phillip Frank Gower Banfill"	"authorOf"	"f01ac7d7-4c6d-48da-8558-27768bbc9cd2"
"G.J. Mauger"	"authorOf"	"95bc16e5-aac2-4422-8907-f6cc873a284a"
"Georgios Kavetsos"	"authorOf"	"e805f080-6c41-46b9-9280-d1d24a104958"
"Islam"	"authorOf"	"8ea47c91-3d23-4d3c-9258-724b9e78db20"
"Elisabeth Michielsens"	"authorOf"	"95fe52c6-1fc4-4922-aea2-dc3a7c43bb62"
"Donald P. Haider-Markel"	"authorOf"	"24e63fc1-e8c8-42c6-992f-de7c16a5fe4c"
"Alex Bryson"	"authorOf"	"ef49a2b2-1c25-42a8-a4a4-efd6b85bb73e"
"Trevor R. Dixon"	"authorOf"	"606a7061-aa7c-482c-9a54-1f92291fcdb0"
"Cass External Relations"	"authorOf"	"7bf39177-b8d3-44b8-9554-f58300d990c6"
"Kees C. J. Camphuysen"	"authorOf"	"d8b4d127-6bae-4086-99fe-3a3719ee6e95"
"Knut Kielland"	"authorOf"	"0b38be5f-7725-4a79-892f-57da615394ee"
"Bjørnar Ytrehus"	"authorOf"	"aa301120-97bc-446d-ad90-7c26d4d9a0d0"
"Olivia T. Boyd"	"authorOf"	"5ca54418-2f4d-41ac-ab63-40f5a69d9baf"
"Kelsey McCarthy"	"authorOf"	"141ace67-73d1-4e9a-8fa4-563bb177b009"
"A James Morris"	"authorOf"	"439d7df3-5262-44a0-b159-693996dd353b"
"J. Ott"	"authorOf"	"7ea8c34e-7bed-465a-b7b0-ad806322bb1c"
"Yohanes E. Riyanto"	"authorOf"	"f9d6ee43-4df7-4d4e-ad0d-cfa39efd94b3"
"Jacques Legrand"	"authorOf"	"010ce16f-7dfe-4ff1-b860-74672040f7a1"
"Richard T. Conant"	"authorOf"	"6e1c6cf3-a8a6-4f35-8207-8b5aeb1ad3f1"
"Jc Ellison"	"authorOf"	"7b020d5e-6bc8-4ccc-9a8b-1aea4240b462"
"Marc J. Melitz"	"authorOf"	"20fdac21-6b5e-4ec7-b774-a8c01f1387cb"
"William Davies"	"authorOf"	"1f51faed-1472-422b-828f-613a3ef306a0"
"T. Scott Veitch"	"authorOf"	"5160cd07-131a-40d7-a790-de350be7a54e"
"N. Arnell"	"authorOf"	"fd234fcd-269b-4081-9602-a0a4a7fa9bf6"
"Laura Merrill"	"authorOf"	"873e8880-d9b3-4fc0-aced-145b0ec11c18"
"Alan Manning"	"authorOf"	"7af0dd52-df4d-495f-8e7e-3b78cb11b18c"
"K Bridle"	"authorOf"	"00ad1414-39a0-4990-82d1-4dd226b1f3fd"
"S. R. Zorn"	"authorOf"	"#14:690042"
"Laurie Kutner"	"authorOf"	"5edbbbc3-ea44-4e68-9848-89753f1891c0"
"Maree Gladwin"	"authorOf"	"7ad8a94e-5a6b-49fe-9461-2a61b3368ce8"
"Evin Mcgovern"	"authorOf"	"#22:3341346"
"Morris M. Kleiner"	"authorOf"	"ba2e7ff4-1b95-436e-bd0d-23b29ce86e79"
"J. Vernon Henderson"	"authorOf"	"6c78eb32-aec3-4c78-bb3b-8f9c5f14f9df"
"David Machin"	"authorOf"	"2548c87a-aa99-43a4-b1cf-619079cfc7a1"
"Shirley Lindenbaum"	"authorOf"	"59f1c5b0-405f-42ca-94e1-18c3cdb8f156"
"A Guide For Practitioners"	"authorOf"	"#22:4309800"
"Paulino Teixeira"	"authorOf"	"6dc21d86-6875-46ed-bfe0-6a1b7e60c9db"
"Berit Gewert"	"authorOf"	"f8009516-f4a9-46cd-afa9-33d9d761ed4d"
"Michael N. Huhns"	"authorOf"	"418805ad-8c7a-4129-9ab9-40f26b28f6d5"
"N.S. Bloom"	"authorOf"	"a70adf4e-ca20-409e-870b-5ee6829ce9a3"
"Nele Warrinnier"	"authorOf"	"1cc61425-fa4e-472d-b37c-61ee4a46f267"
"R. D. Wilson"	"authorOf"	"efe7b35f-69a3-4e7c-ab3e-9981760a6906"
"Chaoqun Dang"	"authorOf"	"6d560267-1e9c-46a1-aeeb-6888ca61478e"
"Rosalie Woodruff"	"authorOf"	"8ea808a6-728f-4b05-90ba-cf1bbbe8d6ab"
"Natasa Markovska"	"authorOf"	"6f634317-d374-411c-a5dc-b34eea8b565f"
"Lizzi Andersen"	"authorOf"	"266d5229-eb40-48dd-89a3-60daac692a08"
